 Negtive; Neutral;Positive;compound;sentimen
0.193;0.68;0.128;-0.2828;negatif
0.13;0.87;0.0;-0.6207;negatif
0.275;0.557;0.167;-0.5106;negatif
0.301;0.568;0.131;-0.5994;negatif
0.1;0.772;0.128;0.0217;positif
0.053;0.847;0.099;0.4448;positif
0.185;0.636;0.179;-0.3291;negatif
0.214;0.721;0.065;-0.765;negatif
0.154;0.724;0.122;-0.1779;negatif
0.173;0.769;0.058;-0.6369;negatif
0.224;0.658;0.118;-0.7964;negatif
0.0;1.0;0.0;0.0;neutral
0.207;0.793;0.0;-0.5267;negatif
0.155;0.625;0.22;0.5023;positif
0.167;0.833;0.0;-0.5267;negatif
0.246;0.754;0.0;-0.5994;negatif
0.221;0.779;0.0;-0.7783;negatif
0.183;0.766;0.051;-0.6661;negatif
0.181;0.686;0.133;-0.2732;negatif
0.145;0.855;0.0;-0.5267;negatif
0.171;0.829;0.0;-0.7783;negatif
0.112;0.888;0.0;-0.5267;negatif
0.0;0.834;0.166;0.2944;positif
0.459;0.541;0.0;-0.5267;negatif
0.115;0.777;0.108;-0.0534;negatif
0.135;0.698;0.167;0.3369;positif
0.127;0.821;0.052;-0.4588;negatif
0.153;0.811;0.036;-0.7351;negatif
0.379;0.435;0.186;-0.4767;negatif
0.386;0.614;0.0;-0.8316;negatif
0.078;0.922;0.0;-0.5267;negatif
0.086;0.886;0.028;-0.5106;negatif
0.091;0.909;0.0;-0.5267;negatif
0.076;0.869;0.056;-0.2263;negatif
0.242;0.758;0.0;-0.7906;negatif
0.296;0.615;0.089;-0.5719;negatif
0.137;0.863;0.0;-0.7783;negatif
0.245;0.755;0.0;-0.7783;negatif
0.116;0.884;0.0;-0.5346;negatif
0.288;0.712;0.0;-0.9485;negatif
0.31;0.69;0.0;-0.9403;negatif
0.184;0.816;0.0;-0.7845;negatif
0.152;0.742;0.106;-0.1027;negatif
0.096;0.766;0.138;0.25;positif
0.097;0.826;0.077;-0.1779;negatif
0.398;0.602;0.0;-0.6486;negatif
0.206;0.667;0.127;-0.3182;negatif
0.281;0.496;0.223;-0.1779;negatif
0.125;0.775;0.1;-0.1779;negatif
0.306;0.45;0.243;-0.1779;negatif
0.069;0.83;0.101;0.1531;positif
0.273;0.727;0.0;-0.9275;negatif
0.198;0.64;0.163;-0.1531;negatif
0.185;0.815;0.0;-0.5267;negatif
0.189;0.611;0.2;0.0516;positif
0.253;0.521;0.226;-0.3304;negatif
0.29;0.588;0.122;-0.5719;negatif
0.066;0.814;0.12;-0.0516;negatif
0.07;0.93;0.0;-0.5267;negatif
0.092;0.758;0.15;0.0372;positif
0.113;0.755;0.132;-0.2648;negatif
0.137;0.806;0.056;-0.6124;negatif
0.515;0.485;0.0;-0.6486;negatif
0.123;0.794;0.083;-0.2732;negatif
0.096;0.904;0.0;-0.5267;negatif
0.149;0.764;0.087;-0.5367;negatif
0.163;0.837;0.0;-0.7783;negatif
0.086;0.859;0.055;-0.2996;negatif
0.123;0.652;0.225;0.4215;positif
0.158;0.698;0.145;-0.3612;negatif
0.254;0.746;0.0;-0.5267;negatif
0.405;0.595;0.0;-0.5267;negatif
0.296;0.704;0.0;-0.8442;negatif
0.324;0.588;0.088;-0.7351;negatif
0.151;0.785;0.064;-0.4588;negatif
0.3;0.7;0.0;-0.8402;negatif
0.148;0.852;0.0;-0.7783;negatif
0.295;0.705;0.0;-0.8519;negatif
0.103;0.608;0.289;0.7269;positif
0.177;0.677;0.146;-0.1531;negatif
